Title,Severity,OWASP Category,Affected URL,Status Code,Evidence,Description,Recommendation
SSL Certificate Check Failed,Medium,A02: Cryptographic Failures,https://api.example.com,,The scanner could not verify the SSL certificate. Error: [Errno 11001] getaddrinfo failed,The scanner could not verify the SSL certificate. Error: [Errno 11001] getaddrinfo failed,Make sure the website has a valid SSL/TLS certificate.
SSL Certificate Check Failed,Medium,A02: Cryptographic Failures,https://admin.example.com,,The scanner could not verify the SSL certificate. Error: [Errno 11001] getaddrinfo failed,The scanner could not verify the SSL certificate. Error: [Errno 11001] getaddrinfo failed,Make sure the website has a valid SSL/TLS certificate.
Target Unreachable,High,Security Misconfiguration,https://admin.example.com,,The scanner could not reach the target URL: https://admin.example.com,The scanner could not reach the target URL: https://admin.example.com,Check if the target URL is correct and accessible.
Missing Security Header: Strict-Transport-Security,Medium,A05: Security Misconfiguration,https://www.example.com,,HSTS header is missing. This helps enforce HTTPS connections.,HSTS header is missing. This helps enforce HTTPS connections.,Add Strict-Transport-Security header.
Missing Security Header: Content-Security-Policy,High,A03: Injection,https://www.example.com,,Content Security Policy is missing. This may increase XSS risk.,Content Security Policy is missing. This may increase XSS risk.,Add a strong Content-Security-Policy header.
Missing Security Header: X-Frame-Options,Medium,A05: Security Misconfiguration,https://www.example.com,,X-Frame-Options header is missing. The site may be vulnerable to clickjacking.,X-Frame-Options header is missing. The site may be vulnerable to clickjacking.,Add X-Frame-Options: DENY or SAMEORIGIN.
Missing Security Header: X-Content-Type-Options,Low,A05: Security Misconfiguration,https://www.example.com,,X-Content-Type-Options header is missing.,X-Content-Type-Options header is missing.,Add X-Content-Type-Options: nosniff.
Missing Security Header: Referrer-Policy,Low,A05: Security Misconfiguration,https://www.example.com,,Referrer-Policy header is missing.,Referrer-Policy header is missing.,Add Referrer-Policy: no-referrer or strict-origin-when-cross-origin.
Missing Security Header: Permissions-Policy,Low,A05: Security Misconfiguration,https://www.example.com,,Permissions-Policy header is missing.,Permissions-Policy header is missing.,Add Permissions-Policy to limit browser feature access.
Information Disclosure in Header: Server,Low,A05: Security Misconfiguration,https://www.example.com/,200,Server: cloudflare,The response exposes server technology information: Server: cloudflare,Remove or minimize technology/version information from HTTP response headers.
