Title,Severity,OWASP Category,CWE,Confidence,Affected URL,Status Code,Lifecycle Status,Validation Status,Evidence,Description,Recommendation
Website Does Not Use HTTPS,High,A02: Cryptographic Failures,CWE-319,High,http://127.0.0.1:8006,,New,Observed,The target website is using HTTP instead of HTTPS.,The target website is using HTTP instead of HTTPS.,Use HTTPS with a valid TLS/SSL certificate.
Missing Security Header: Strict-Transport-Security,Medium,A05: Security Misconfiguration,CWE-693,High,http://127.0.0.1:8006,,New,Observed,HSTS header is missing. This helps enforce HTTPS connections.,HSTS header is missing. This helps enforce HTTPS connections.,Add Strict-Transport-Security header.
Missing Security Header: Content-Security-Policy,High,A03: Injection,CWE-79,High,http://127.0.0.1:8006,,New,Observed,Content Security Policy is missing. This may increase XSS risk.,Content Security Policy is missing. This may increase XSS risk.,Add a strong Content-Security-Policy header.
Missing Security Header: X-Frame-Options,Medium,A05: Security Misconfiguration,CWE-1021,High,http://127.0.0.1:8006,,New,Observed,X-Frame-Options header is missing. The site may be vulnerable to clickjacking.,X-Frame-Options header is missing. The site may be vulnerable to clickjacking.,Add X-Frame-Options: DENY or SAMEORIGIN.
Missing Security Header: X-Content-Type-Options,Low,A05: Security Misconfiguration,CWE-693,High,http://127.0.0.1:8006,,New,Observed,X-Content-Type-Options header is missing.,X-Content-Type-Options header is missing.,Add X-Content-Type-Options: nosniff.
Missing Security Header: Referrer-Policy,Low,A05: Security Misconfiguration,CWE-693,High,http://127.0.0.1:8006,,New,Observed,Referrer-Policy header is missing.,Referrer-Policy header is missing.,Add Referrer-Policy: no-referrer or strict-origin-when-cross-origin.
Missing Security Header: Permissions-Policy,Low,A05: Security Misconfiguration,CWE-693,High,http://127.0.0.1:8006,,New,Observed,Permissions-Policy header is missing.,Permissions-Policy header is missing.,Add Permissions-Policy to limit browser feature access.
Information Disclosure in Header: Server,Low,A05: Security Misconfiguration,CWE-200,High,http://127.0.0.1:8006/,200,New,Observed,Server: CyberScanWeb/1.0 Python/3.13.2,The response exposes server technology information: Server: CyberScanWeb/1.0 Python/3.13.2,Remove or minimize technology/version information from HTTP response headers.
Form Uses GET Method: Form #1,Medium,A02: Cryptographic Failures,CWE-N/A,High,http://127.0.0.1:8006/,200,New,Observed,method=get action=http://127.0.0.1:8006/,A form uses the GET method. Sensitive data may appear in URLs.,Use POST for forms that send sensitive information.
Password Form Without HTTPS: Form #1,High,A07: Identification and Authentication Failures,CWE-319,High,http://127.0.0.1:8006/,200,New,Observed,1 password field(s) found,A password field was found on a non-HTTPS page.,Always use HTTPS for login and password forms.
Sensitive Input Allows Browser Autocomplete: Form #1,Low,A07: Identification and Authentication Failures,CWE-N/A,High,http://127.0.0.1:8006/,200,New,Observed,input=password autocomplete=not set,The input 'password' may allow browser autocomplete for sensitive data.,Disable autocomplete for sensitive inputs or use context-appropriate autocomplete values.
Possible Error Message Disclosure,Medium,A05: Security Misconfiguration,CWE-209,Medium,http://127.0.0.1:8006/,200,New,Needs Manual Validation,stack trace,The page contains possible technical error text: stack trace,Disable detailed error messages in production.
SQL Injection Review Candidate: Form #1,Medium,A03: Injection,CWE-89,Medium,http://127.0.0.1:8006/,200,New,Needs Manual Validation,Fields: email,The form contains fields commonly connected to database lookup or authentication logic.,Validate input server-side and use parameterized queries for all database access.
Possible DOM XSS Source-to-Sink Pattern,Medium,A03: Injection,CWE-79,Medium,http://127.0.0.1:8006/,200,New,Needs Manual Validation,"Sources: location.hash; sinks: innerHTML, insertAdjacentHTML, setTimeout(, setInterval(",Inline JavaScript appears to read browser-controlled input and write to risky HTML/script sinks.,"Use safe DOM APIs such as textContent, sanitize HTML with a proven sanitizer, and avoid eval-like execution."
Stored XSS Review Candidate,Medium,A03: Injection,CWE-79,Medium,http://127.0.0.1:8006/,200,New,Needs Manual Validation,Fields: scanname,The page contains user-content style inputs that may later be rendered back to other users.,"HTML-encode stored user content by output context, sanitize rich text, and add regression tests for stored XSS."
Password Field Missing Explicit Autocomplete Context,Low,A07: Identification and Authentication Failures,CWE-N/A,High,http://127.0.0.1:8006/,200,New,Observed,autocomplete values: not set,A password input does not declare current-password or new-password autocomplete context.,Use autocomplete=current-password for login forms and autocomplete=new-password for registration or reset forms.
Client-Side Authentication Surface Detected,Info,A07: Identification and Authentication Failures,CWE-N/A,Low,http://127.0.0.1:8006/,200,New,Informational,"Matched terms: localStorage.setItem, Authorization, Bearer , /login","The page or bundled script references authentication tokens, login, registration, or password flows.","Review token storage, password reset protections, lockout/rate limiting, and session expiration server-side."
