Title,Severity,OWASP Category,CWE,Confidence,Affected URL,Status Code,Lifecycle Status,Validation Status,Evidence,Description,Recommendation
Missing Security Header: Strict-Transport-Security,Medium,A05: Security Misconfiguration,CWE-319,High,https://juice-shop.herokuapp.com,,New,Observed,HSTS header is missing. This helps enforce HTTPS connections.,HSTS header is missing. This helps enforce HTTPS connections.,Add Strict-Transport-Security header.
Missing Security Header: Content-Security-Policy,High,A03: Injection,CWE-79,High,https://juice-shop.herokuapp.com,,New,Observed,Content Security Policy is missing. This may increase XSS risk.,Content Security Policy is missing. This may increase XSS risk.,Add a strong Content-Security-Policy header.
Missing Security Header: Referrer-Policy,Low,A05: Security Misconfiguration,CWE-693,High,https://juice-shop.herokuapp.com,,New,Observed,Referrer-Policy header is missing.,Referrer-Policy header is missing.,Add Referrer-Policy: no-referrer or strict-origin-when-cross-origin.
Missing Security Header: Permissions-Policy,Low,A05: Security Misconfiguration,CWE-693,High,https://juice-shop.herokuapp.com,,New,Observed,Permissions-Policy header is missing.,Permissions-Policy header is missing.,Add Permissions-Policy to limit browser feature access.
Information Disclosure in Header: Server,Low,A05: Security Misconfiguration,CWE-200,High,https://juice-shop.herokuapp.com/,200,New,Observed,Server: Heroku,The response exposes server technology information: Server: Heroku,Remove or minimize technology/version information from HTTP response headers.
Interesting API Routes Exposed in Client Bundle,Info,A01: Broken Access Control,CWE-284,Low,https://juice-shop.herokuapp.com/scripts.js,200,New,Informational,"/api.ipinfodb.com/v3/ip-country/?key=, /apis/geoip2/v2.1/geoip2.js","Client-side JavaScript exposes route names related to authentication, users, admin, or account data.",Verify server-side authorization on every API route; do not rely on hidden frontend routes for access control.
Interesting API Routes Exposed in Client Bundle,Info,A01: Broken Access Control,CWE-284,Low,https://juice-shop.herokuapp.com/main.js,200,New,Informational,"/api/BasketItems, /api/Cards, /api/Complaints, /api/Deliverys, /api/Hints, /api/Products, /api/Quantitys, /api/SecurityAnswers, /api/SecurityQuestions, /basket","Client-side JavaScript exposes route names related to authentication, users, admin, or account data.",Verify server-side authorization on every API route; do not rely on hidden frontend routes for access control.
Possible Exposed Sensitive Path: /.env,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/.env,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/.env,The path /.env returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /.git/config,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/.git/config,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/.git/config,The path /.git/config returned HTTP 200 OK.,Restrict access to sensitive files and directories.
Possible Exposed Sensitive Path: /backup.zip,High,A05: Security Misconfiguration,CWE-538,Medium,https://juice-shop.herokuapp.com/backup.zip,200,New,Needs Manual Validation,HTTP 200 https://juice-shop.herokuapp.com/backup.zip,The path /backup.zip returned HTTP 200 OK.,Restrict access to sensitive files and directories.
